species,speed,irrigation,position x,position y,value
Spathiphyllum wallisii ,fast,after,a,2,0.037
Spathiphyllum wallisii ,fast,after,b,2,0.059
Spathiphyllum wallisii ,fast,after,c,2,0.142
Spathiphyllum wallisii ,fast,after,d,2,0.238
Spathiphyllum wallisii ,fast,after,a,3,0.136
Spathiphyllum wallisii ,fast,after,b,3,0.099
Spathiphyllum wallisii ,fast,after,c,3,0.181
Spathiphyllum wallisii ,fast,after,d,3,0.142
Spathiphyllum wallisii ,fast,after,a,4,0.107
Spathiphyllum wallisii ,fast,after,b,4,0.169
Spathiphyllum wallisii ,fast,after,c,4,0.244
Spathiphyllum wallisii ,fast,after,d,4,0.246
Spathiphyllum wallisii ,fast,after,a,1,0.063
Spathiphyllum wallisii ,fast,after,b,1,0.162
Spathiphyllum wallisii ,fast,after,c,1,0.053
Spathiphyllum wallisii ,fast,after,d,1,0.032
Spathiphyllum wallisii ,fast,after,a,2,0.104
Spathiphyllum wallisii ,fast,after,b,2,0.199
Spathiphyllum wallisii ,fast,after,c,2,0.039
Spathiphyllum wallisii ,fast,after,d,2,0.052
Spathiphyllum wallisii ,fast,after,a,3,0.082
Spathiphyllum wallisii ,fast,after,b,3,0.276
Spathiphyllum wallisii ,fast,after,c,3,0.065
Spathiphyllum wallisii ,fast,after,d,3,0.065
Spathiphyllum wallisii ,fast,after,a,4,0.287
Spathiphyllum wallisii ,fast,after,b,4,0.303
Spathiphyllum wallisii ,fast,after,c,4,0.242
Spathiphyllum wallisii ,fast,after,d,4,0.254
Spathiphyllum wallisii ,fast,after,a,1,0.109
Spathiphyllum wallisii ,fast,after,b,1,0.076
Spathiphyllum wallisii ,fast,after,c,1,0.079
Spathiphyllum wallisii ,fast,after,d,1,0.032
Spathiphyllum wallisii ,fast,after,a,2,0.121
Spathiphyllum wallisii ,fast,after,b,2,0.235
Spathiphyllum wallisii ,fast,after,c,2,0.21
Spathiphyllum wallisii ,fast,after,d,2,0.223
Spathiphyllum wallisii ,fast,after,a,3,0.224
Spathiphyllum wallisii ,fast,after,b,3,0.266
Spathiphyllum wallisii ,fast,after,c,3,0.223
Spathiphyllum wallisii ,fast,after,d,3,0.289
Spathiphyllum wallisii ,fast,after,a,4,0.297
Spathiphyllum wallisii ,fast,after,b,4,0.296
Spathiphyllum wallisii ,fast,after,c,4,0.254
Spathiphyllum wallisii ,fast,after,d,4,0.284
Chlorophytum comosum variegatum,fast,after,a,1,0.061
Chlorophytum comosum variegatum,fast,after,b,1,0.082
Chlorophytum comosum variegatum,fast,after,c,1,0.071
Chlorophytum comosum variegatum,fast,after,d,1,0.021
Chlorophytum comosum variegatum,fast,after,a,2,0.103
Chlorophytum comosum variegatum,fast,after,b,2,0.14
Chlorophytum comosum variegatum,fast,after,c,2,0.095
Chlorophytum comosum variegatum,fast,after,d,2,0.027
Chlorophytum comosum variegatum,fast,after,a,3,0.091
Chlorophytum comosum variegatum,fast,after,b,3,0.111
Chlorophytum comosum variegatum,fast,after,c,3,0.178
Chlorophytum comosum variegatum,fast,after,d,3,0.03
Chlorophytum comosum variegatum,fast,after,a,4,0.07
Chlorophytum comosum variegatum,fast,after,b,4,0.142
Chlorophytum comosum variegatum,fast,after,c,4,0.198
Chlorophytum comosum variegatum,fast,after,d,4,0.099
Chlorophytum comosum variegatum,fast,after,a,1,0.157
Chlorophytum comosum variegatum,fast,after,b,1,0.066
Chlorophytum comosum variegatum,fast,after,c,1,0.13
Chlorophytum comosum variegatum,fast,after,d,1,0.045
Chlorophytum comosum variegatum,fast,after,a,2,0.118
Chlorophytum comosum variegatum,fast,after,b,2,0.183
Chlorophytum comosum variegatum,fast,after,c,2,0.155
Chlorophytum comosum variegatum,fast,after,d,2,0.031
